Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
68836	Mrpl52	MGI:1916086		3.10E-06
20540	Slc7a7	MGI:1337120		3.10E-06
67046	Tbc1d7	MGI:1914296		3.10E-06
110253	Triobp	MGI:1349410		3.10E-06
58206	Zbtb32	MGI:1891838		3.10E-06
53761	Bat2	MGI:1915467		3.11E-06
107260	Otub1	MGI:2147616		3.11E-06
73754	Thap1	MGI:1921004	2.92E-04	3.57E-06
207839	Galnt6	MGI:1891640		3.57E-06
216459	Myl6b	MGI:1917789	3.58E-05	3.84E-06
79362	Bhlhe41	MGI:1930704		3.84E-06
13557	E2f3	MGI:1096340		3.84E-06
71947	2310067B10Rik	MGI:1919197		4.17E-06
193003	A530088H08Rik	MGI:2443635		4.32E-06
18709	Pik3r2	MGI:1098772		4.39E-06
12988	Csk	MGI:88537		4.59E-06
242408	4930412F15Rik	MGI:2441678		4.83E-06
16424	Itih1	MGI:96618		4.83E-06
16897	Llgl1	MGI:102682	1.04E-05	4.94E-06
11840	Arf1	MGI:99431		4.94E-06
75731	5133401N09Rik	MGI:1922981		5.19E-06
67862	2310033P09Rik	MGI:1915112	4.93E-05	5.55E-06
67212	Mrpl55	MGI:1914462	4.93E-05	5.55E-06
245857	Ssh3	MGI:2683546		5.55E-06
353328	Muc6	MGI:2663233		6.05E-06
57913	Lrdd	MGI:1889507		6.06E-06
72124	Seh1l	MGI:1919374		6.07E-06
380712	Tlcd2	MGI:1917141	6.97E-04	6.52E-06
11555	Adrb2	MGI:87938		6.69E-06
171095	Il17rc	MGI:2159336		7.11E-06
17001	Ltc4s	MGI:107498	8.52E-04	7.18E-06
18109	Mycn	MGI:97357		7.18E-06
52666	D10Ertd610e	MGI:1277173		7.34E-06
57435	Plin4	MGI:1929709	1.13E-04	7.34E-06
12889	Cplx1	MGI:104727		7.34E-06
54485	Dll4	MGI:1859388		7.34E-06
76123	Gpsm2	MGI:1923373		7.34E-06
26412	Map4k2	MGI:1346883		7.34E-06
17283	Men1	MGI:1316736		7.34E-06
66940	Shisa5	MGI:1915044		7.34E-06
20713	Serpini1	MGI:1194506		7.34E-06
230824	Grhl3	MGI:2655333		7.53E-06
66055	0610009D07Rik	MGI:1913305		7.53E-06
13560	E4f1	MGI:109530		7.53E-06
18436	P2rx1	MGI:1098235		7.53E-06
209003	Rbmx2	MGI:1919414		7.53E-06
19735	Rgs2	MGI:1098271		7.53E-06
12125	Bcl2l11	MGI:1197519		8.20E-06
110826	Etfb	MGI:106098		8.24E-06
15944	Irgm1	MGI:107567	3.63E-06	8.37E-06
73847	Fam110a	MGI:1921097		8.37E-06
64297	Gprc5b	MGI:1927596		8.37E-06
94066	Mrpl36	MGI:2137228		8.37E-06
109161	Ube2q2	MGI:2388672		9.08E-06
